videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,2,,0,AA,0,0,0,0,1470.0000,,41674038,2017-04-09T13:02:07,0,0,2017-04-09T13:02:05.403,pdu0687383357,19天23时42分,0,,0,10,1,2,35,3,2016-09-29T15:47:21,0,2100.0000,1,0,0,2000-01-01T00:00:00,
0,0,13,,0,AA,0,0,0,0,1318.0000,,41669435,2017-04-09T13:00:19.017,0,0,2017-04-09T12:22:41.627,pdu0362045650,19天23时08分,0,,0,10,0,2,45,3,2016-09-27T15:02:21,0,2500.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1300.0000,,41672766,2017-04-09T13:01:49.373,0,0,2017-04-09T12:51:34.487,pdu3720673172,19天23时32分,0,,0,10,0,2,31,3,2017-03-14T16:26:26,0,2100.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1200.0000,,41672869,2017-04-09T13:01:47.847,0,0,2017-04-09T12:51:56.373,ZZ525345834,19天23时33分,0,,0,10,1,1,35,3,2014-11-24T08:55:29,0,2000.0000,1,0,0,2000-01-01T00:00:00,
0,0,7,2017-04-04T15:20:42.59,900.0000,AA,0,0,1,0,900.0000,,41672580,2017-04-09T13:01:45.71,1,0,2017-04-09T12:51:37.183,pdu8014451032,19天23时31分,0,,900.0000,10,0,2,21,3,2017-02-17T21:54:45,0,1750.0000,1,0,0,2000-01-01T00:00:00,
0,0,16,2016-09-13T17:52:31.017,0.0000,AA,0,0,1,2,0.0000,,41674980,2017-04-09T13:02:27.233,3,0,2017-04-09T13:02:21.06,pdu7110873760,2017/4/9,1,,0.0000,11,0,1,34,3,2016-09-13T17:02:03,0,2250.0000,1,0,0,2017-04-09T13:02:28.557,
0,0,2,,0,AA,0,0,0,0,1170.0000,,41674309,2017-04-09T13:02:19.397,0,0,2017-04-09T13:02:18.047,pdu5623657307,19天23时43分,0,,0,10,0,2,25,3,2016-09-07T00:38:12,0,1800.0000,1,0,0,2000-01-01T00:00:00,
0,0,11,,0,AA,0,0,0,0,728.0000,,41671789,2017-04-09T13:01:59.28,0,0,2017-04-09T12:42:25.94,pdu0378218736,19天23时24分,0,,0,10,0,1,34,3,2017-04-03T15:37:11,0,1800.0000,1,0,0,2000-01-01T00:00:00,
0,0,7,,0,AA,0,0,0,0,1150.0000,,41672137,2017-04-09T13:00:48.77,0,0,2017-04-09T12:42:46.12,pdu6041134483,19天23时27分,0,,0,10,0,1,32,3,2017-04-01T00:39:54,0,2000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,1170.0000,,41674781,2017-04-09T13:02:20.103,0,0,2017-04-09T13:02:18.76,pdu5763003378,19天23时45分,0,,0,10,0,1,36,3,2017-04-08T19:25:54,0,1800.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1300.0000,,41673643,2017-04-09T13:01:50.13,0,0,2017-04-09T12:52:21.847,pdu5718547832,19天23时39分,0,,0,10,1,1,32,3,2016-08-08T13:32:34,0,2100.0000,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,1320.0000,,41675128,2017-04-09T13:01:50.993,0,0,2017-04-09T13:00:34.05,pdu7231324271,19天23时48分,0,,0,10,0,1,22,3,2017-04-01T14:08:03,0,2000.0000,1,0,0,2000-01-01T00:00:00,
0,0,10,2016-11-11T18:05:25.81,0.0000,AA,0,0,5,0,0.0000,,41674192,2017-04-09T13:02:53.033,8,0,2017-04-09T13:02:01.607,pdu2781633205,2017/4/9,0,,0.0000,10,0,1,21,3,2016-01-19T18:57:50,0,1050.0000,1,0,0,2017-04-09T13:02:53.75,
0,0,2,,0,AA,0,0,0,0,250.0000,,41674237,2017-04-09T13:02:54.223,0,0,2017-04-09T13:02:07.043,pdu8452368801,19天23时43分,0,,0,10,0,1,20,3,2017-04-04T09:00:44,0,1000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,370.0000,,41674625,2017-04-09T13:02:21.047,0,0,2017-04-09T13:02:19.737,pdu2434664448,19天23时45分,0,,0,10,0,2,23,3,2017-03-21T04:09:20,0,1000.0000,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,0.0000,,41674902,2017-04-09T13:02:46.917,0,0,2017-04-09T13:02:34.503,pdu5683668444,2017/4/9,0,,0,10,0,1,31,3,2016-09-01T20:18:09,0,1000.0000,1,0,0,2017-04-09T13:02:47.43,
0,0,9,2016-10-21T16:34:22.28,2200.0000,AA,0,0,6,1,0.0000,,41675014,2017-04-09T13:02:48.79,9,0,2017-04-09T13:02:26.153,pdu6384438810,2017/4/9,0,,2200.0000,10,1,1,32,3,2016-08-05T01:05:59,0,1000.0000,1,0,0,2017-04-09T13:02:49.243,
0,0,2,,0,AA,0,0,0,0,70.0000,,41675135,2017-04-09T13:02:49.973,0,0,2017-04-09T13:02:43.487,pdu6560377707,19天23时48分,0,,0,10,0,1,30,3,2017-04-09T11:09:56,0,1000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,370.0000,,41675153,2017-04-09T13:02:50.763,0,0,2017-04-09T13:02:45.05,pdu2272546173,19天23时48分,0,,0,10,0,1,27,3,2017-02-17T15:00:24,0,1000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,70.0000,,41675174,2017-04-09T13:02:52.24,0,0,2017-04-09T13:02:45.763,pdu0461062512,19天23时48分,0,,0,10,1,1,30,3,2016-09-06T15:50:01,0,1000.0000,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,0.0000,,41674867,2017-04-09T13:02:37.653,0,0,2017-04-09T13:02:30.137,pdu8774466628,2017/4/9,0,,0,10,0,1,20,3,2017-04-08T12:30:15,0,500.0000,1,0,0,2017-04-09T13:02:38.07,
0,0,2,,0,AA,0,0,0,0,0.0000,,41675081,2017-04-09T13:02:46.573,0,0,2017-04-09T13:02:39.34,pdu6377087816,2017/4/9,0,,0,10,0,1,18,3,2017-04-08T17:45:34,0,500.0000,1,0,0,2017-04-09T13:02:47.087,
0,0,9,2016-11-30T18:21:34.63,4539.7400,D,0,0,5,0,0.0000,,41675117,2017-04-09T13:02:27.507,6,0,2017-04-09T13:02:27.397,pdu5860756583,2017/4/9,0,,4217.3500,22,0,2,23,12,2016-11-30T17:26:37,0,1600.0000,1,0,0,2017-04-09T13:02:28.653,
0,0,24,,0,AA,0,0,0,0,4768.0000,,41665673,2017-04-09T12:59:26.953,0,0,2017-04-09T12:01:50.103,842655301zl,19天22时43分,0,,0,10,1,1,26,3,2014-08-06T18:42:31,0,6500.0000,1,0,0,2000-01-01T00:00:00,
0,0,11,,0,AA,0,0,0,0,3418.0000,,41668995,2017-04-09T13:00:28.467,0,0,2017-04-09T12:22:28.977,pdu1611563723,19天23时04分,0,,0,10,1,1,28,3,2016-02-20T11:51:27,1,4500.0000,1,0,0,2000-01-01T00:00:00,
0,0,17,2017-02-15T11:25:22.107,1800.0000,AA,0,0,6,0,0.0000,,41675032,2017-04-09T13:02:27.05,10,0,2017-04-09T13:02:24.603,pdu0408454003,2017/4/9,0,,1800.0000,12,1,2,31,12,2016-09-09T14:28:29,1,1600.0000,1,0,0,2017-04-09T13:02:28.097,
0,0,18,2017-02-23T12:13:04.07,1400.0000,AA,0,0,2,0,2514.0000,,41669267,2017-04-09T13:00:51.367,3,0,2017-04-09T12:22:29.767,pdu5780375583,19天23时06分,0,,1400.0000,10,2,1,25,3,2016-05-11T15:44:41,0,4000.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,0.0000,,41675139,2017-04-09T13:02:37.777,0,0,2017-04-09T13:02:32.67,pdu3511078516,2017/4/9,0,,0,9,0,2,29,1,2017-01-26T02:59:42,0,1000.0000,1,0,0,2017-04-09T13:02:38.547,
0,0,4,,0,AA,0,0,0,0,30.0000,,41673889,2017-04-09T13:02:57.027,0,0,2017-04-09T13:01:56.74,pdu7621375255,19天23时41分,0,,0,10,0,1,29,3,2016-07-04T02:10:04,0,1000.0000,1,0,0,2000-01-01T00:00:00,
0,0,4,2016-07-31T11:11:07.7,0.0000,D,0,0,1,0,0.0000,,41675197,2017-04-09T13:02:29.723,4,0,2017-04-09T13:02:29.323,pdu6772806820,2017/4/9,0,,0.0000,22,3,1,39,6,2016-05-23T12:02:47,1,4150.0000,1,0,0,2017-04-09T13:02:30.45,
0,1,6,2015-12-05T09:56:12.043,10371.7600,AA,0,0,16,12,0.0000,济南工程职业技术学院,41675202,2017-04-09T13:02:34.26,76,1,2017-04-09T13:02:28.16,pdu6358316711,2017/4/9,0,普通,9282.1800,11,1,2,26,3,2015-11-21T14:45:54,0,843.0000,1,0,0,2017-04-09T13:02:35.143,专科
